Freq;Ampl;Phase;Cohe
5.00;0.22;179.48;1.00
5.06;0.22;179.37;1.00
5.12;0.22;179.15;1.00
5.18;0.23;178.87;1.00
5.24;0.24;178.56;1.00
5.30;0.25;178.45;1.00
5.36;0.26;178.58;1.00
5.43;0.26;178.84;1.00
5.49;0.27;179.05;1.00
5.56;0.27;179.23;1.00
5.62;0.27;179.29;1.00
5.69;0.28;179.26;1.00
5.76;0.28;179.28;1.00
5.82;0.29;179.29;1.00
5.89;0.30;179.22;1.00
5.96;0.31;179.19;1.00
6.03;0.32;179.20;1.00
6.10;0.33;179.17;1.00
6.17;0.33;179.01;1.00
6.25;0.34;178.80;1.00
6.32;0.35;178.56;1.00
6.40;0.37;178.41;1.00
6.47;0.38;178.40;1.00
6.55;0.39;178.53;1.00
6.62;0.40;178.57;1.00
6.70;0.42;178.44;1.00
6.78;0.43;178.27;1.00
6.86;0.45;178.29;1.00
6.94;0.46;178.40;1.00
7.02;0.48;178.40;1.00
7.11;0.49;178.40;1.00
7.19;0.51;178.38;1.00
7.28;0.52;178.26;1.00
7.36;0.54;178.08;1.00
7.45;0.56;177.99;1.00
7.54;0.58;177.91;1.00
7.63;0.60;177.64;1.00
7.72;0.62;177.36;1.00
7.81;0.65;177.13;1.00
7.90;0.68;177.10;1.00
7.99;0.71;177.28;1.00
8.09;0.73;177.37;1.00
8.18;0.75;177.25;1.00
8.28;0.78;177.05;1.00
8.38;0.80;176.89;1.00
8.47;0.84;176.79;1.00
8.57;0.88;176.70;1.00
8.68;0.91;176.46;1.00
8.78;0.95;176.15;1.00
8.88;1.00;175.79;1.00
8.99;1.04;175.60;1.00
9.09;1.08;175.41;1.00
9.20;1.13;175.09;1.00
9.31;1.18;174.75;1.00
9.42;1.23;174.31;1.00
9.53;1.29;173.89;1.00
9.64;1.36;173.56;1.00
9.75;1.42;172.85;1.00
9.87;1.51;171.82;1.00
9.99;1.60;170.69;1.00
10.10;1.69;169.19;1.00
10.22;1.75;168.47;1.00
10.34;1.81;167.95;1.00
10.47;1.89;167.52;1.00
10.59;2.00;167.06;1.00
10.71;2.16;166.32;1.00
10.84;2.31;165.97;1.00
10.97;2.45;165.80;1.00
11.10;2.59;165.31;1.00
11.23;2.81;164.82;1.00
11.36;3.03;164.93;1.00
11.49;3.29;164.99;1.00
11.63;3.59;165.02;1.00
11.77;3.95;164.69;1.00
11.91;4.38;164.03;1.00
12.05;4.88;163.32;1.00
12.19;5.53;161.78;1.00
12.33;6.17;159.83;0.99
12.48;7.16;157.13;0.99
12.63;7.46;148.53;0.96
12.77;7.28;125.12;0.85
12.92;23.30;26.40;0.73
13.08;36.84;3.35;0.98
13.23;26.86;12.50;0.99
13.39;22.43;19.67;0.99
13.55;18.88;19.21;1.00
13.71;17.61;12.54;0.99
13.87;19.85;7.27;0.99
14.03;17.29;6.51;0.99
14.20;11.83;6.49;1.00
14.36;9.06;5.93;1.00
14.53;7.38;6.07;1.00
14.70;6.30;5.49;1.00
14.88;5.67;4.17;1.00
15.05;5.32;3.35;1.00
15.23;5.02;2.79;1.00
15.41;4.74;2.83;1.00
15.59;4.49;2.46;1.00
15.78;4.14;2.21;1.00
15.96;3.89;1.41;1.00
16.15;3.68;0.72;1.00
16.34;3.53;1.02;1.00
16.53;3.37;1.39;1.00
16.73;3.21;1.35;1.00
16.93;3.08;1.32;1.00
17.13;2.98;1.45;1.00
17.33;2.91;1.15;1.00
17.53;2.84;1.09;1.00
17.74;2.80;0.24;1.00
17.95;2.74;-0.98;1.00
18.16;2.64;-1.84;1.00
18.37;2.53;-3.01;1.00
18.59;2.46;-3.45;1.00
18.81;2.41;-4.01;1.00
19.03;2.38;-5.00;1.00
19.26;2.36;-5.16;1.00
19.48;2.33;-4.61;1.00
19.71;2.28;-4.05;1.00
19.95;2.22;-2.60;1.00
20.18;2.17;-0.82;1.00
20.42;2.10;0.57;1.00
20.66;2.02;1.30;1.00
20.90;1.98;1.02;1.00
21.15;1.94;1.09;1.00
21.40;1.91;1.05;1.00
21.65;1.87;1.18;1.00
21.91;1.84;1.28;1.00
22.16;1.81;1.48;1.00
22.43;1.79;1.43;1.00
22.69;1.77;1.34;1.00
22.96;1.74;1.38;1.00
23.23;1.72;1.47;1.00
23.50;1.70;1.52;1.00
23.78;1.68;1.62;1.00
24.06;1.67;1.62;1.00
24.34;1.64;1.67;1.00
24.63;1.63;1.88;1.00
24.92;1.61;2.14;1.00
25.22;1.58;2.38;1.00
25.51;1.58;2.45;1.00
25.81;1.58;2.45;1.00
26.12;1.57;2.68;1.00
26.43;1.56;2.67;1.00
26.74;1.56;2.73;1.00
27.05;1.55;2.79;1.00
27.37;1.53;2.54;1.00
27.70;1.53;2.36;1.00
28.02;1.51;2.30;1.00
28.35;1.49;2.07;1.00
28.69;1.49;1.76;1.00
29.03;1.48;1.63;1.00
29.37;1.46;1.63;1.00
29.71;1.46;1.75;1.00
30.06;1.44;1.91;1.00
30.42;1.43;2.14;1.00
30.78;1.42;2.35;1.00
31.14;1.41;2.54;1.00
31.51;1.41;2.73;1.00
31.88;1.40;2.74;1.00
32.26;1.39;2.65;1.00
32.64;1.39;2.50;1.00
33.02;1.39;2.57;1.00
33.41;1.38;2.58;1.00
33.80;1.38;2.82;1.00
34.20;1.37;3.05;1.00
34.61;1.37;3.09;1.00
35.02;1.36;3.00;1.00
35.43;1.36;2.94;1.00
35.85;1.36;2.85;1.00
36.27;1.36;2.73;1.00
36.70;1.36;2.51;1.00
37.13;1.36;2.25;1.00
37.57;1.36;1.85;1.00
38.01;1.36;1.51;1.00
38.46;1.35;1.15;1.00
38.91;1.35;0.95;1.00
39.37;1.34;0.73;1.00
39.84;1.33;0.65;1.00
40.31;1.32;0.61;1.00
40.78;1.31;0.49;1.00
41.26;1.31;0.46;1.00
41.75;1.30;0.37;1.00
42.24;1.29;0.27;1.00
42.74;1.29;0.19;1.00
43.24;1.28;0.08;1.00
43.75;1.28;-0.11;1.00
44.27;1.27;-0.18;1.00
44.79;1.26;-0.19;1.00
45.32;1.25;-0.23;1.00
45.85;1.25;-0.37;1.00
46.39;1.25;-0.42;1.00
46.94;1.24;-0.62;1.00
47.50;1.24;-0.82;1.00
48.06;1.23;-0.92;1.00
48.62;1.22;-1.14;1.00
49.20;1.22;-1.29;1.00
49.78;1.21;-1.41;1.00
50.36;1.20;-1.60;1.00
50.96;1.20;-1.74;1.00
51.56;1.19;-1.93;1.00
52.17;1.18;-2.07;1.00
52.78;1.18;-2.26;1.00
53.40;1.17;-2.48;1.00
54.03;1.16;-2.83;1.00
54.67;1.14;-3.18;1.00
55.32;1.13;-3.45;1.00
55.97;1.12;-3.68;1.00
56.63;1.10;-3.75;1.00
57.30;1.09;-3.67;1.00
57.97;1.07;-3.39;1.00
58.66;1.05;-2.96;1.00
59.35;1.03;-2.30;1.00
60.05;1.01;-1.48;1.00
60.76;1.00;-0.89;1.00
61.47;1.00;-0.46;1.00
62.20;0.99;-0.21;1.00
62.93;0.99;-0.03;1.00
63.67;0.99;0.08;1.00
64.42;0.98;0.15;1.00
65.18;0.98;0.38;1.00
65.95;0.97;0.56;1.00
66.73;0.97;0.67;1.00
67.52;0.96;0.69;1.00
68.31;0.95;0.65;1.00
69.12;0.95;0.60;1.00
69.93;0.94;0.55;1.00
70.76;0.93;0.50;1.00
71.59;0.92;0.49;1.00
72.44;0.91;0.45;1.00
73.29;0.90;0.43;1.00
74.16;0.89;0.40;1.00
75.03;0.87;0.40;1.00
75.92;0.86;0.39;1.00
76.81;0.84;0.39;1.00
77.72;0.83;0.35;1.00
78.63;0.82;0.33;1.00
79.56;0.80;0.24;1.00
80.50;0.78;0.10;1.00
81.45;0.76;0.02;1.00
82.41;0.74;0.02;1.00
83.38;0.71;0.16;1.00
84.37;0.69;0.46;1.00
85.36;0.66;0.95;1.00
86.37;0.63;1.65;1.00
87.39;0.60;2.82;1.00
88.42;0.56;5.54;1.00
89.46;0.56;13.42;1.00
90.51;0.54;14.80;1.00
91.58;0.58;15.31;1.00
92.66;0.59;15.57;1.00
93.75;0.57;16.00;1.00
94.86;0.54;16.67;1.00
95.98;0.51;17.92;1.00
97.11;0.47;19.96;1.00
98.26;0.43;23.66;1.00
99.42;0.38;31.24;1.00
100.59;0.35;46.14;0.99
101.77;0.34;61.62;0.99
102.97;0.36;71.66;0.99
104.19;0.43;80.36;0.99
105.42;0.51;86.85;1.00
106.66;0.59;92.97;1.00
107.92;0.68;97.95;1.00
109.19;0.78;102.44;1.00
110.48;0.92;106.68;1.00
111.78;1.10;110.08;1.00
113.10;1.29;112.48;1.00
114.43;1.53;113.90;1.00
115.78;1.80;114.18;1.00
117.15;2.12;113.31;1.00
118.53;2.51;111.52;1.00
119.93;2.93;108.19;1.00
121.34;3.44;102.99;0.99
122.77;4.07;94.98;0.99
124.22;4.79;84.27;0.99
125.69;5.36;73.67;0.99
127.17;5.78;62.67;1.00
128.67;5.98;52.50;1.00
130.19;5.97;42.57;1.00
131.72;5.81;33.35;1.00
133.28;5.51;25.80;1.00
134.85;5.12;19.83;1.00
136.44;4.73;15.12;1.00
138.05;4.34;11.81;1.00
139.68;4.03;9.86;1.00
141.32;3.74;8.52;1.00
142.99;3.49;7.82;1.00
144.68;3.28;7.26;1.00
146.38;3.10;6.87;1.00
148.11;2.95;6.65;1.00
149.86;2.82;6.70;1.00
151.62;2.71;6.65;1.00
153.41;2.62;6.60;1.00
155.22;2.54;6.53;1.00
157.05;2.46;6.42;1.00
158.90;2.40;6.24;1.00
160.78;2.34;6.02;1.00
162.67;2.28;5.74;1.00
164.59;2.23;5.51;1.00
166.53;2.17;5.42;1.00
168.50;2.12;5.38;1.00
170.49;2.06;5.42;1.00
172.50;2.02;5.59;1.00
174.53;1.98;5.87;1.00
176.59;1.94;6.48;1.00
178.67;1.91;7.05;1.00
180.78;1.89;6.99;1.00
182.91;1.87;6.43;1.00
185.07;1.85;6.07;1.00
187.25;1.82;5.94;1.00
189.46;1.78;6.02;1.00
191.69;1.75;6.11;1.00
193.96;1.71;6.19;1.00
196.24;1.68;6.31;1.00
198.56;1.65;6.36;1.00
200.90;1.63;6.61;1.00
203.27;1.59;6.93;1.00
205.67;1.56;7.31;1.00
208.09;1.53;7.86;1.00
210.55;1.50;8.57;1.00
213.03;1.47;9.34;1.00
215.54;1.43;10.49;1.00
218.08;1.40;12.19;1.00
220.66;1.37;14.63;1.00
223.26;1.36;17.31;1.00
225.89;1.36;19.65;1.00
228.55;1.38;20.39;1.00
231.25;1.42;19.84;1.00
233.98;1.45;18.52;1.00
236.74;1.46;17.26;1.00
239.53;1.46;15.95;1.00
242.35;1.45;14.69;1.00
245.21;1.43;13.15;1.00
248.10;1.41;11.66;1.00
251.03;1.37;9.97;1.00
253.99;1.34;8.69;1.00
256.99;1.29;7.27;1.00
260.02;1.23;5.80;1.00
263.08;1.18;4.71;1.00
266.19;1.11;3.68;1.00
269.33;1.05;2.95;1.00
272.50;0.98;2.82;1.00
275.72;0.91;3.30;1.00
278.97;0.83;4.60;1.00
282.26;0.76;6.28;1.00
285.59;0.67;9.49;1.00
288.96;0.58;14.01;1.00
292.36;0.49;20.86;0.99
295.81;0.38;35.78;0.98
299.30;0.31;76.93;0.93
302.83;0.28;123.11;0.94
306.40;0.32;136.22;0.97
310.02;0.44;140.03;0.99
313.67;0.58;141.81;0.99
317.37;0.76;143.72;0.99
321.12;0.91;144.49;0.99
324.90;1.10;144.13;0.99
328.73;1.38;142.89;0.99
332.61;1.66;140.54;0.99
336.53;2.04;136.19;0.99
340.50;2.48;130.12;0.99
344.52;3.14;120.08;0.99
348.58;3.71;106.88;0.98
352.69;4.54;85.51;0.98
356.85;4.88;65.97;0.98
361.06;4.53;48.29;0.98
365.32;3.72;37.13;0.99
369.63;2.86;30.41;0.99
373.99;2.03;27.87;0.99
378.40;1.41;31.56;0.98
382.86;0.98;60.54;0.95
387.38;0.79;96.35;0.96
391.95;0.71;111.22;0.99
396.57;0.80;117.44;1.00
401.25;0.92;122.32;1.00
405.98;1.06;125.62;1.00
410.77;1.21;128.23;1.00
415.61;1.39;130.38;1.00
420.51;1.58;131.95;1.00
425.47;1.80;133.42;1.00
430.49;2.01;134.25;1.00
435.57;2.27;134.44;1.00
440.70;2.59;134.14;1.00
445.90;2.92;133.48;1.00
451.16;3.30;132.16;1.00
456.48;3.69;130.43;1.00
461.87;4.20;127.69;1.00
467.31;4.73;125.06;1.00
472.82;5.36;121.18;1.00
478.40;5.99;117.75;1.00
484.04;6.93;111.15;1.00
489.75;7.88;104.79;1.00
495.53;9.04;95.82;0.99
501.37;10.16;85.08;0.99
507.29;11.29;72.04;0.99
513.27;12.01;59.30;0.99
519.32;11.83;47.02;0.99
525.45;10.86;36.51;0.99
531.64;9.51;30.07;0.99
537.91;7.57;27.01;0.99
544.26;6.18;27.51;1.00
550.68;5.23;27.42;1.00
557.17;4.79;26.46;1.00
563.74;4.56;24.29;1.00
570.39;4.36;22.19;1.00
577.12;4.13;19.69;1.00
583.93;3.82;16.78;1.00
590.81;3.45;16.15;1.00
597.78;2.82;22.67;0.99
604.83;2.37;28.41;1.00
611.96;2.18;27.94;1.00
619.18;2.16;28.28;1.00
626.48;2.06;26.92;1.00
633.87;1.92;22.11;1.00
641.35;1.71;20.39;0.99
648.91;1.33;21.97;0.99
656.57;0.96;32.74;0.96
664.31;0.72;97.47;0.92
672.14;0.55;126.77;0.96
680.07;0.69;144.99;0.97
688.09;0.89;155.90;0.98
696.21;1.24;162.15;0.98
704.42;1.65;165.15;0.99
712.73;2.22;166.60;0.99
721.13;2.80;167.07;0.99
729.64;3.43;166.69;0.99
738.24;4.39;165.15;0.99
746.95;5.12;162.77;0.99
755.76;5.56;159.84;0.99
764.67;6.44;154.38;0.99
773.69;12.98;143.63;0.99
782.82;7.50;150.87;0.97
792.05;13.27;143.15;0.98
801.39;17.77;131.11;0.98
810.84;22.73;114.14;0.97
820.40;28.58;88.44;0.98
830.08;27.96;69.33;0.98
839.87;23.41;58.10;0.99
849.78;19.06;59.48;0.99
859.80;14.06;69.23;1.00
869.94;12.08;73.24;1.00
880.20;12.03;72.54;1.00
890.58;12.25;71.81;1.00
901.08;13.10;69.12;1.00
911.71;14.24;63.63;1.00
922.46;15.35;55.89;1.00
933.34;16.24;46.74;1.00
944.35;16.46;37.98;1.00
955.49;15.70;29.71;1.00
966.76;14.36;24.03;1.00
978.16;12.94;19.78;1.00
989.69;11.52;17.55;1.00
1001.37;11.11;17.61;1.00
