Freq;Ampl;Phase;Cohe
5.00;0.20;179.53;1.00
5.06;0.20;179.51;1.00
5.12;0.20;179.40;1.00
5.18;0.21;179.18;1.00
5.24;0.22;178.96;1.00
5.30;0.23;178.90;1.00
5.36;0.23;178.98;1.00
5.43;0.24;179.09;1.00
5.49;0.24;179.15;1.00
5.56;0.24;179.15;1.00
5.62;0.25;179.14;1.00
5.69;0.25;179.14;1.00
5.76;0.26;179.16;1.00
5.82;0.26;179.15;1.00
5.89;0.27;179.14;1.00
5.96;0.27;179.14;1.00
6.03;0.28;179.14;1.00
6.10;0.29;179.11;1.00
6.17;0.30;179.07;1.00
6.25;0.30;179.05;1.00
6.32;0.31;178.98;1.00
6.40;0.32;178.89;1.00
6.47;0.33;178.84;1.00
6.55;0.34;178.86;1.00
6.62;0.35;178.90;1.00
6.70;0.35;178.91;1.00
6.78;0.36;178.92;1.00
6.86;0.37;178.94;1.00
6.94;0.38;178.96;1.00
7.02;0.39;178.96;1.00
7.11;0.40;178.93;1.00
7.19;0.41;178.90;1.00
7.28;0.42;178.93;1.00
7.36;0.44;178.96;1.00
7.45;0.45;178.94;1.00
7.54;0.46;178.91;1.00
7.63;0.47;178.85;1.00
7.72;0.48;178.81;1.00
7.81;0.50;178.82;1.00
7.90;0.51;178.84;1.00
7.99;0.53;178.85;1.00
8.09;0.54;178.84;1.00
8.18;0.55;178.80;1.00
8.28;0.57;178.79;1.00
8.38;0.58;178.81;1.00
8.47;0.60;178.79;1.00
8.57;0.62;178.78;1.00
8.68;0.63;178.78;1.00
8.78;0.65;178.83;1.00
8.88;0.67;178.81;1.00
8.99;0.69;178.76;1.00
9.09;0.71;178.74;1.00
9.20;0.73;178.73;1.00
9.31;0.75;178.71;1.00
9.42;0.77;178.72;1.00
9.53;0.79;178.72;1.00
9.64;0.81;178.68;1.00
9.75;0.84;178.65;1.00
9.87;0.86;178.64;1.00
9.99;0.89;178.66;1.00
10.10;0.91;178.77;1.00
10.22;0.92;178.90;1.00
10.34;0.93;178.78;1.00
10.47;0.94;178.53;1.00
10.59;0.96;178.50;1.00
10.71;0.99;178.79;1.00
10.84;1.00;179.03;1.00
10.97;1.02;179.37;1.00
11.10;1.05;179.50;1.00
11.23;1.09;179.70;1.00
11.36;1.13;179.85;1.00
11.49;1.18;179.88;1.00
11.63;1.22;179.86;1.00
11.77;1.26;179.57;1.00
11.91;1.30;179.30;1.00
12.05;1.34;179.08;1.00
12.19;1.38;178.86;1.00
12.33;1.42;178.64;1.00
12.48;1.47;178.56;1.00
12.63;1.52;178.50;1.00
12.77;1.57;178.40;1.00
12.92;1.62;178.38;1.00
13.08;1.68;178.28;1.00
13.23;1.73;178.22;1.00
13.39;1.78;178.30;1.00
13.55;1.83;178.38;1.00
13.71;1.89;178.41;1.00
13.87;1.96;178.26;1.00
14.03;2.03;178.28;1.00
14.20;2.11;178.29;1.00
14.36;2.18;178.20;1.00
14.53;2.27;178.11;1.00
14.70;2.36;178.06;1.00
14.88;2.45;177.97;1.00
15.05;2.54;178.04;1.00
15.23;2.64;177.88;1.00
15.41;2.76;177.85;1.00
15.59;2.87;177.90;1.00
15.78;3.00;177.82;1.00
15.96;3.12;177.62;1.00
16.15;3.26;177.38;1.00
16.34;3.39;177.38;1.00
16.53;3.56;177.24;1.00
16.73;3.72;176.94;1.00
16.93;3.88;176.68;1.00
17.13;4.08;176.47;1.00
17.33;4.27;176.25;1.00
17.53;4.50;175.94;1.00
17.74;4.73;175.96;1.00
17.95;4.97;176.16;1.00
18.16;5.18;176.28;1.00
18.37;5.51;175.52;1.00
18.59;5.84;175.85;1.00
18.81;6.13;175.78;1.00
19.03;6.57;175.52;1.00
19.26;6.90;175.56;1.00
19.48;7.42;175.06;1.00
19.71;7.91;175.82;1.00
19.95;8.63;175.17;1.00
20.18;9.15;174.30;1.00
20.42;10.03;174.65;1.00
